category,discount_band,avg_profit,loss_rate_pct
Furniture,0-10%,103.61033584261588,3.6
Furniture,10-30%,3.8489561219845245,44.2
Furniture,30-50%,-110.61863608490566,87.0
Furniture,50%+,-191.08320790419162,100.0
Office Supplies,0-10%,32.221582374484264,2.4
Office Supplies,10-30%,17.340844149720013,18.9
Office Supplies,30-50%,-29.221632140876316,87.8
Office Supplies,50%+,-49.23007418752334,100.0
Technology,0-10%,127.89615227488879,2.7
Technology,10-30%,51.43046742405832,27.4
Technology,30-50%,-102.91830169465648,86.6
Technology,50%+,-183.69434933333335,100.0
